iter,rank,ant_move_s,phen_sync_s,evaporation_s,total_s
444,1,0.536344,2.16873,0.190505,2.89558
445,1,0.537518,2.17368,0.191101,2.9023
446,1,0.538947,2.17818,0.19172,2.90885
447,1,0.539996,2.18308,0.192124,2.9152
448,1,0.541102,2.18833,0.192535,2.92197
449,1,0.542253,2.19326,0.192748,2.92826
450,1,0.543323,2.19829,0.193084,2.9347
451,1,0.544615,2.20314,0.193677,2.94143
452,1,0.545861,2.20772,0.194177,2.94776
453,1,0.547019,2.21245,0.194582,2.95405
454,1,0.548196,2.21757,0.194824,2.96059
455,1,0.549403,2.22246,0.195593,2.96746
456,1,0.550564,2.22758,0.1961,2.97424
457,1,0.551978,2.2322,0.196575,2.98076
458,1,0.556776,2.23576,0.196907,2.98944
459,1,0.557894,2.24089,0.197323,2.99611
460,1,0.558817,2.24618,0.197749,3.00275
461,1,0.560179,2.25127,0.19839,3.00984
462,1,0.561147,2.25609,0.198766,3.016
463,1,0.562425,2.26049,0.199216,3.02214
464,1,0.563601,2.26516,0.199503,3.02826
465,1,0.564544,2.26998,0.199793,3.03431
466,1,0.565477,2.27504,0.20018,3.0407
467,1,0.566662,2.27996,0.200675,3.0473
468,1,0.567667,2.28476,0.201067,3.0535
469,1,0.569052,2.29015,0.201381,3.06059
470,1,0.570815,2.298,0.201955,3.07077
471,1,0.572265,2.30324,0.202344,3.07785
472,1,0.573491,2.30849,0.202902,3.08488
473,1,0.574838,2.31302,0.203425,3.09128
474,1,0.575844,2.31795,0.203786,3.09758
475,1,0.577128,2.32215,0.204124,3.10341
476,1,0.578373,2.32682,0.204507,3.1097
477,1,0.579352,2.33177,0.205082,3.1162
478,1,0.580483,2.33654,0.206587,3.12361
479,1,0.581596,2.34079,0.206955,3.12934
480,1,0.582687,2.34518,0.207338,3.1352
481,1,0.583908,2.34988,0.207546,3.14133
482,1,0.58486,2.35471,0.208022,3.14759
483,1,0.5861,2.35913,0.208361,3.15359
484,1,0.587216,2.36394,0.208904,3.16006
485,1,0.588277,2.36871,0.209321,3.1663
486,1,0.589435,2.3752,0.209817,3.17445
487,1,0.590774,2.38072,0.210318,3.18181
488,1,0.591766,2.38579,0.210774,3.18833
489,1,0.592991,2.39107,0.211272,3.19533
490,1,0.594322,2.39591,0.211781,3.20201
491,1,0.595509,2.40079,0.212236,3.20853
492,1,0.59668,2.40535,0.212686,3.21472
493,1,0.597797,2.41115,0.213158,3.2221
494,1,0.599454,2.41925,0.213493,3.2322
495,1,0.600701,2.42472,0.21379,3.23921
496,1,0.601827,2.43023,0.2142,3.24625
497,1,0.603111,2.43477,0.214468,3.25235
498,1,0.604623,2.44045,0.21482,3.2599
499,1,0.606203,2.44616,0.21522,3.26759
500,1,0.607428,2.45179,0.215389,3.27461
501,1,0.608652,2.45657,0.215807,3.28103
502,1,0.610154,2.46226,0.216094,3.28851
503,1,0.611542,2.46803,0.216503,3.29607
504,1,0.613419,2.47289,0.216746,3.30305
505,1,0.614846,2.47844,0.217057,3.31035
506,1,0.615987,2.48426,0.217347,3.31759
507,1,0.617278,2.48942,0.21786,3.32456
508,1,0.618354,2.49435,0.218466,3.33117
509,1,0.619542,2.49965,0.218941,3.33813
510,1,0.620873,2.50457,0.219473,3.34491
511,1,0.621896,2.51078,0.220415,3.35309
512,1,0.623289,2.5171,0.22076,3.36115
513,1,0.624757,2.52237,0.221057,3.36818
514,1,0.62596,2.52738,0.221573,3.37491
515,1,0.627367,2.53202,0.22191,3.3813
516,1,0.628596,2.53738,0.222449,3.38843
517,1,0.630487,2.54364,0.22301,3.39714
518,1,0.6321,2.54915,0.223438,3.40469
519,1,0.633071,2.55499,0.223759,3.41182
520,1,0.634155,2.55963,0.224422,3.4182
521,1,0.63554,2.56429,0.224756,3.42458
522,1,0.636702,2.56936,0.225143,3.4312
523,1,0.63813,2.5737,0.22551,3.43734
524,1,0.639301,2.5785,0.225896,3.4437
525,1,0.640129,2.58353,0.226212,3.44987
526,1,0.641546,2.58903,0.22647,3.45704
527,1,0.642605,2.59508,0.226763,3.46445
528,1,0.64446,2.60128,0.22749,3.47323
529,1,0.646035,2.60704,0.227831,3.4809
530,1,0.647478,2.61242,0.228199,3.4881
531,1,0.648413,2.61763,0.228593,3.49464
532,1,0.649577,2.62247,0.228931,3.50098
533,1,0.650798,2.62695,0.229348,3.5071
534,1,0.651881,2.63214,0.22972,3.51374
535,1,0.653089,2.63665,0.230326,3.52007
536,1,0.654279,2.64128,0.230586,3.52614
537,1,0.655395,2.64626,0.231177,3.53283
538,1,0.656512,2.6508,0.231566,3.53888
539,1,0.657633,2.6554,0.231996,3.54503
540,1,0.658855,2.66016,0.233167,3.55218
541,1,0.660026,2.66539,0.23357,3.55899
542,1,0.661177,2.66994,0.234062,3.56517
543,1,0.66226,2.67491,0.234442,3.57162
544,1,0.663739,2.67941,0.234691,3.57784
545,1,0.664843,2.68433,0.235118,3.58429
546,1,0.665981,2.68921,0.235436,3.59062
547,1,0.667081,2.69403,0.236074,3.59719
548,1,0.668268,2.6989,0.236381,3.60354
549,1,0.669446,2.7044,0.236928,3.61077
550,1,0.670854,2.70894,0.237387,3.61718
551,1,0.672096,2.71346,0.237856,3.62341
552,1,0.6731,2.71849,0.238215,3.6298
553,1,0.674402,2.72565,0.238737,3.63879
554,1,0.6758,2.73163,0.239015,3.64645
555,1,0.677286,2.73704,0.239409,3.65374
556,1,0.67824,2.74232,0.239803,3.66036
557,1,0.679536,2.74694,0.240321,3.6668
558,1,0.680625,2.75183,0.240598,3.67305
559,1,0.681681,2.75679,0.240852,3.67933
560,1,0.682964,2.76177,0.241257,3.68599
561,1,0.683997,2.76681,0.241692,3.6925
562,1,0.685245,2.77185,0.242097,3.69919
