iter,ant_move_s,phen_sync_s,evaporation_s,total_s
332,0.40322475,1.60788,0.1438975,2.155005
333,0.404346,1.612355,0.14431175000000002,2.1610175
334,0.4055085,1.6169075,0.144711,2.167125
335,0.40672425,1.622085,0.145091,2.1739
336,0.40776025,1.6267800000000001,0.14553625,2.1800800000000002
337,0.408952,1.6313675,0.14591225000000002,2.1862325
338,0.4101305,1.63618,0.14624725,2.192555
339,0.411451,1.6414475,0.146811,2.1997075
340,0.4125725,1.645995,0.14711875,2.205685
341,0.41376625,1.6504925,0.1475045,2.2117625
342,0.41474875,1.6552425,0.14787625,2.217865
343,0.4159035,1.65997,0.14829775,2.224175
344,0.41708525,1.6650575,0.148694,2.2308375
345,0.418214,1.6696675,0.1490935,2.2369725000000003
346,0.41933925,1.6746975,0.149425,2.2434625
347,0.42038025,1.67943,0.14981475,2.2496225
348,0.42147675,1.6841025,0.150158,2.2557375
349,0.422488,1.68856,0.15056275,2.2616075
350,0.423595,1.6930100000000001,0.15089750000000002,2.2675
351,0.4246675,1.6976775000000002,0.1512595,2.2736025
352,0.4257625,1.70227,0.1516555,2.2796875
353,0.42682625,1.7069975,0.152025,2.28585
354,0.42783175,1.71167,0.15254475,2.292045
355,0.42899525,1.7162724999999999,0.1528675,2.29813
356,0.43024625,1.721225,0.15317875,2.30465
357,0.4322945,1.7277525,0.15355575,2.313605
358,0.43340924999999997,1.7324975,0.15393574999999998,2.3198425
359,0.434562,1.7374825,0.15449025,2.326535
360,0.43574999999999997,1.742225,0.15495075,2.332925
361,0.4369765,1.7471275,0.15533,2.339435
362,0.43819125000000003,1.7514975,0.15644475,2.3461350000000003
363,0.4394635,1.75611,0.156874,2.35245
364,0.4406095,1.7606775,0.15719075,2.3584775000000002
365,0.44181225,1.765955,0.1577485,2.365515
366,0.4428685,1.7706625,0.15831375,2.3718425
367,0.44404775,1.77566,0.15906599999999999,2.378775
368,0.44528575,1.7804875,0.1594575,2.38523
369,0.44655449999999997,1.785065,0.15993275,2.3915525
370,0.44778075,1.78976,0.1603075,2.39785
371,0.44888075,1.794445,0.16064875,2.403975
372,0.45016575,1.799315,0.1610615,2.41054
373,0.45132975,1.80396,0.1613965,2.4166875
374,0.45245475,1.8085225,0.16176125,2.42274
375,0.45362375,1.8135949999999998,0.162129,2.42935
376,0.45486225,1.818125,0.162527,2.435515
377,0.45592925,1.8228925,0.16296875,2.4417925
378,0.4571585,1.82755,0.16336325000000002,2.4480750000000002
379,0.45836725,1.83259,0.163774,2.45473
380,0.45949450000000003,1.8373725,0.164135,2.4610025
381,0.46056425,1.8418975,0.16450925,2.466975
382,0.46157375,1.84659,0.1649225,2.4730875
383,0.46260725,1.8510900000000001,0.16527324999999998,2.4789725000000002
384,0.46365049999999997,1.8561725,0.165681,2.4855025
385,0.464956,1.8608375,0.16608875,2.49188
386,0.46612275000000003,1.865485,0.16658075,2.49819
387,0.4672985,1.8702575000000001,0.16706674999999999,2.5046225
388,0.4685135,1.874835,0.167407,2.5107549999999996
389,0.46957525,1.8796650000000001,0.16776924999999998,2.517005
390,0.47065375,1.8842400000000001,0.16810175,2.522995
391,0.47185125,1.88893,0.16843750000000002,2.5292175
392,0.4729755,1.89336,0.16880125,2.535135
393,0.47410575,1.8979275,0.16912775,2.54116
394,0.4754405,1.9027,0.16948275000000002,2.547625
395,0.47670425,1.90724,0.17001125,2.5539525
396,0.477948,1.9119125000000001,0.170452,2.5603125
397,0.47914675,1.91659,0.170875,2.5666075
398,0.4801795,1.92159,0.1712395,2.57301
399,0.48159075,1.9275775,0.17192425,2.581095
400,0.48282400000000003,1.9337425,0.172552,2.5891175
401,0.48398825,1.93913,0.172974,2.5960925
402,0.48531,1.944575,0.173638,2.603525
403,0.48681425,1.95013,0.1742985,2.6112450000000003
404,0.488533,1.9554875,0.17491325,2.618935
405,0.49026274999999997,1.9605700000000001,0.176244,2.627075
406,0.49148875000000003,1.9659849999999999,0.17733725,2.6348125
407,0.49263575,1.9709949999999998,0.17770999999999998,2.6413450000000003
408,0.4938865,1.976485,0.17874025,2.649115
409,0.49514,1.9815175,0.17944575000000001,2.656105
410,0.49641575000000004,1.98759,0.1798415,2.6638450000000002
411,0.4980365,1.992925,0.18024675,2.671205
412,0.4991985,1.9976075,0.180733,2.6775349999999998
413,0.50035325,2.00229,0.18110875,2.6837525
414,0.50146775,2.00691,0.18146925,2.6898475
415,0.50282225,2.0114900000000002,0.18183825,2.6961500000000003
416,0.5042425,2.01722,0.18226175,2.703725
417,0.50521825,2.024545,0.182968,2.71273
418,0.506456,2.030115,0.18345625,2.7200275
419,0.50785225,2.035815,0.18385325000000002,2.7275225
420,0.50928975,2.04121,0.184317,2.7348175
421,0.5110215,2.046785,0.185424,2.7432275
422,0.51274825,2.0513425,0.18584275,2.749935
423,0.51457775,2.05651,0.18627549999999998,2.7573625
424,0.5160965,2.061565,0.18675625,2.7644175
425,0.51768725,2.0671975,0.18715874999999998,2.7720425
426,0.51904425,2.0732475,0.18752675,2.7798175
427,0.5205685,2.0779575,0.18792124999999998,2.7864475
428,0.522212,2.0825750000000003,0.18833825,2.7931225
429,0.52356675,2.08812,0.1887505,2.8004325
430,0.524869,2.0936925,0.1891265,2.80769
431,0.526003,2.0988725,0.189454,2.81433
432,0.52738325,2.10434,0.18976725,2.8214875
433,0.528704,2.1097725,0.19036725,2.8288475
434,0.529841,2.1146175,0.19073574999999998,2.8351925
435,0.5310159999999999,2.119515,0.19109175,2.8416224999999997
436,0.53213175,2.1246325,0.19145125,2.8482125
437,0.5335672499999999,2.1293100000000003,0.1917995,2.854675
438,0.5347770000000001,2.134185,0.192247,2.8612075
439,0.536048,2.1392825,0.19262125,2.8679575
440,0.53720075,2.1441974999999998,0.19306325,2.8744625
441,0.5383645,2.14898,0.19345475,2.8807975
442,0.539436,2.1536875,0.19379449999999998,2.8869175
443,0.5405525,2.1583075000000003,0.1942435,2.893105
444,0.541695,2.1627,0.19462875000000002,2.899025
445,0.54286225,2.1673575,0.19509075,2.90531
446,0.54414725,2.1718975,0.19556025,2.9116049999999998
447,0.5453125000000001,2.1764875,0.1958925,2.9176925000000002
448,0.5464837499999999,2.1814725,0.19630575,2.92426
449,0.54763525,2.18623,0.19662000000000002,2.9304875
450,0.54876125,2.190985,0.19699,2.9367375
451,0.54989175,2.195755,0.1974985,2.943145
452,0.55103925,2.2004425,0.1979385,2.9494225
453,0.55214575,2.205235,0.19828325,2.9556625
454,0.5532637499999999,2.2103124999999997,0.198601,2.9621775
455,0.5544995,2.21489,0.1992015,2.9685924999999997
456,0.555636,2.2201725000000003,0.19959749999999998,2.9754075
457,0.55680175,2.2250725,0.2000175,2.9818925
458,0.558921,2.2312975,0.20038899999999998,2.990605
459,0.56003,2.23644,0.20081725,2.99729
460,0.56115075,2.2413275,0.201191,3.00367
461,0.56243825,2.2464925,0.20174150000000002,3.01067
462,0.56368325,2.2512225,0.202113,3.01702
463,0.5649917499999999,2.255815,0.2026375,3.023445
464,0.56632675,2.2604225,0.20295475000000002,3.0297
465,0.567473,2.265155,0.20329075,3.0359175
466,0.56856725,2.27005,0.2036745,3.0422925000000003
467,0.5697945,2.27466,0.204093,3.04855
468,0.57082875,2.27938,0.20452775,3.0547375
469,0.572141,2.28465,0.2058045,3.062595
470,0.5739305,2.29249,0.20639449999999998,3.0728150000000003
471,0.57545475,2.29782,0.20685875,3.0801350000000003
472,0.57668275,2.3033525,0.207299,3.087335
473,0.577811,2.3081,0.20781575,3.0937275
474,0.57903625,2.3128025,0.20827125000000002,3.1001075
475,0.5802292499999999,2.3172725,0.208592,3.106095
476,0.58134125,2.322075,0.20897175,3.11239
477,0.58246825,2.326625,0.209454,3.1185475
478,0.58349325,2.3314874999999997,0.21009675,3.12508
479,0.5845875,2.3359625,0.2104255,3.1309725
480,0.5856915,2.3403325,0.21082975,3.1368525
481,0.58686375,2.3448200000000003,0.2112485,3.14293
482,0.588097,2.3493725,0.21170525,3.149175
483,0.58930175,2.353795,0.21205525,3.1551525
484,0.59042075,2.3584175,0.21289550000000002,3.1617375
485,0.59158925,2.3630725,0.21330175,3.1679625
486,0.592951,2.3694474999999997,0.2137505,3.1761475
487,0.59426,2.3749775,0.21424875,3.1834875
488,0.59542625,2.3796475,0.21468525,3.1897625
489,0.59673275,2.3847025,0.2150785,3.1965174999999997
490,0.598109,2.38963,0.21553424999999998,3.2032725
491,0.599452,2.394105,0.21596125,3.209515
492,0.6005995,2.39869,0.21639049999999999,3.2156849999999997
493,0.6017735,2.4042425,0.216822,3.2228325
494,0.6035955000000001,2.41207,0.2172155,3.2328825
495,0.60484725,2.41747,0.21762175,3.23994
496,0.6060555,2.4230549999999997,0.21800025,3.2471075
497,0.607294,2.4276324999999996,0.21833125,3.2532575
498,0.6091107499999999,2.4328499999999997,0.21881024999999998,3.2607749999999998
499,0.610677,2.438485,0.21917625000000002,3.26834
500,0.6119559999999999,2.443815,0.21955550000000001,3.275325
501,0.61310175,2.4484125,0.219966,3.2814825
502,0.6144235,2.4544225,0.22029975,3.2891475
503,0.6157655,2.4602500000000003,0.22070475,3.29672
504,0.61767075,2.4649075000000003,0.2210385,3.3036125
